visit_id,user_id,destination_id,visit_timestamp,region,number_of_persons,total_price
147,584,2,2024-12-01 04:46:17,North America,1,3157.22
148,542,4,2022-05-25 16:45:56,Europe,2,2159.39
149,924,13,2020-01-14 10:47:16,Oceania,5,3339.95
150,102,4,2024-01-14 21:21:13,Asia,5,5398.47
151,715,10,2023-09-27 23:51:37,Oceania,2,1276.56
152,981,2,2023-01-07 09:28:16,South America,2,6314.44
153,435,4,2021-12-07 23:40:19,South America,5,5398.47
154,116,13,2021-01-19 01:25:57,South America,3,2003.97
155,113,9,2024-03-20 10:43:18,Asia,2,2678.89
156,722,5,2020-05-06 03:59:38,North America,5,17561.34
157,336,8,2023-04-10 11:21:35,Asia,1,3079.04
158,468,10,2023-10-11 07:44:56,Europe,3,1914.84
159,568,7,2023-08-22 15:08:05,Europe,3,5636.95
160,878,2,2023-02-15 14:24:58,Europe,4,12628.88
161,14,11,2020-11-22 18:11:03,South America,4,5151.42
162,449,9,2021-01-05 09:31:36,Europe,1,1339.44
163,405,7,2020-11-12 00:57:12,Oceania,5,9394.92
164,948,3,2023-02-04 00:10:56,Europe,1,2420.48
165,347,4,2023-06-10 01:58:31,North America,5,5398.47
166,239,14,2024-03-30 16:20:50,Asia,4,6918.85
167,784,12,2025-01-18 09:45:01,Asia,5,4545.45
168,775,13,2023-01-11 08:32:23,South America,4,2671.96
169,683,10,2024-02-14 09:23:18,Africa,4,2553.12
170,286,3,2020-12-01 15:47:53,North America,4,9681.92
171,257,8,2021-12-18 03:19:13,Oceania,4,12316.14
172,966,3,2020-11-05 10:58:00,Oceania,1,2420.48
173,55,14,2024-03-27 15:37:50,Oceania,1,1729.71
174,28,3,2022-10-12 19:35:52,Europe,4,9681.92
175,311,10,2020-10-26 07:09:21,North America,5,3191.4
176,677,13,2024-03-09 04:09:38,South America,5,3339.95
177,207,5,2024-03-03 03:42:58,Africa,4,14049.07
178,268,9,2024-08-06 08:45:45,Africa,3,4018.33
179,19,13,2023-08-30 05:25:39,North America,1,667.99
180,393,8,2023-03-15 05:41:16,South America,3,9237.11
181,471,1,2021-07-03 12:19:16,Africa,1,3377.42
182,676,14,2021-05-24 23:28:54,South America,3,5189.14
183,442,3,2023-04-23 19:56:39,South America,3,7261.44
184,783,2,2024-03-04 02:20:09,Oceania,5,15786.1
185,568,11,2024-11-12 19:05:14,South America,5,6439.28
186,488,9,2024-04-23 05:10:32,North America,2,2678.89
187,401,5,2025-01-10 07:31:04,South America,4,14049.07
188,632,11,2022-06-02 17:12:00,Asia,3,3863.57
189,63,1,2020-05-20 04:16:33,Europe,5,16887.1
190,858,6,2024-12-19 07:44:03,North America,3,9294.24
191,784,11,2023-03-28 09:36:28,North America,3,3863.57
192,439,6,2023-07-03 19:41:50,Asia,3,9294.24
193,58,11,2022-02-08 07:25:58,Europe,2,2575.71
194,664,5,2020-09-20 21:42:53,Oceania,5,17561.34
195,68,14,2020-12-21 15:35:55,Asia,3,5189.14
196,174,1,2022-10-10 05:02:03,North America,5,16887.1
197,472,11,2024-10-30 20:50:00,Africa,4,5151.42
198,924,7,2020-03-04 09:18:13,Oceania,3,5636.95
199,481,10,2022-09-10 09:01:08,South America,1,638.28
200,585,7,2024-11-13 19:34:33,North America,3,5636.95
201,828,8,2021-10-01 17:38:13,Asia,1,3079.04
202,509,9,2021-06-01 16:37:33,Africa,3,4018.33
203,307,6,2021-09-18 20:12:48,South America,4,12392.32
204,651,14,2024-07-22 18:40:51,Europe,1,1729.71
205,295,5,2022-07-12 17:48:20,Africa,1,3512.27
206,412,13,2020-10-12 16:52:23,Oceania,2,1335.98
207,865,10,2025-01-12 20:37:39,Asia,1,638.28
208,280,2,2024-07-07 22:58:34,South America,5,15786.1
209,438,4,2020-08-26 04:18:09,Oceania,3,3239.08
210,844,5,2022-07-20 18:50:15,South America,5,17561.34
211,680,9,2021-09-13 14:49:16,South America,3,4018.33
212,412,5,2024-05-20 04:42:54,South America,5,17561.34
213,688,13,2021-07-15 02:34:30,North America,5,3339.95
214,643,12,2021-08-02 13:21:04,Africa,5,4545.45
215,512,4,2022-04-12 10:45:08,Oceania,4,4318.78
216,546,13,2023-09-09 12:50:29,Africa,5,3339.95
217,745,11,2024-06-10 15:14:34,Europe,1,1287.86
218,374,8,2022-01-16 19:34:50,Europe,2,6158.07
219,765,11,2023-09-14 16:56:27,South America,3,3863.57
220,327,14,2021-09-24 10:23:14,South America,1,1729.71
221,274,14,2021-05-13 22:02:02,Asia,3,5189.14
222,704,10,2023-06-14 23:33:29,Europe,2,1276.56
223,117,3,2020-03-27 01:46:23,Europe,2,4840.96
224,817,14,2023-12-13 02:15:21,South America,3,5189.14
225,574,7,2020-04-24 23:11:54,Europe,4,7515.94
226,164,5,2020-03-31 12:58:31,Asia,2,7024.54
227,809,13,2024-09-06 23:37:27,Europe,3,2003.97
228,660,14,2024-02-18 11:00:09,North America,1,1729.71
229,57,14,2022-09-02 06:26:10,Africa,1,1729.71
230,306,14,2023-06-18 12:37:48,Asia,1,1729.71
231,688,11,2023-05-18 02:38:23,Oceania,1,1287.86
232,863,3,2020-12-13 18:16:55,Africa,2,4840.96
233,753,9,2024-06-09 15:58:35,Oceania,1,1339.44
234,849,10,2022-02-21 08:10:10,South America,5,3191.4
235,906,2,2021-01-14 21:37:16,Asia,2,6314.44
236,338,14,2023-04-26 12:49:44,Oceania,5,8648.56
237,762,4,2021-11-08 07:53:00,Europe,4,4318.78
238,110,3,2022-05-02 23:43:58,South America,2,4840.96
239,419,5,2020-06-22 18:06:00,South America,5,17561.34
240,547,6,2022-09-10 07:12:03,Africa,1,3098.08
241,434,8,2022-05-12 21:19:49,Europe,2,6158.07
242,372,8,2022-08-15 10:55:30,North America,3,9237.11
243,661,10,2020-06-18 20:39:55,Oceania,1,638.28
244,940,13,2022-02-24 23:46:19,Africa,2,1335.98
245,394,5,2021-01-14 04:59:18,Africa,3,10536.8
246,888,4,2023-04-21 22:29:55,North America,4,4318.78
247,932,7,2022-07-23 19:50:48,North America,3,5636.95
248,959,14,2022-07-13 01:27:32,Europe,2,3459.42
249,881,3,2022-09-12 10:58:46,Oceania,4,9681.92
250,417,13,2022-05-01 09:38:38,North America,1,667.99
251,843,13,2024-01-03 15:06:43,Oceania,4,2671.96
252,423,14,2023-08-05 05:53:28,North America,3,5189.14
253,845,3,2024-04-22 03:02:17,North America,3,7261.44
254,361,7,2024-08-28 17:32:22,Oceania,5,9394.92
255,335,8,2020-06-10 20:46:10,Oceania,1,3079.04
256,657,3,2021-02-26 19:46:18,North America,4,9681.92
257,411,4,2022-09-01 16:47:35,Africa,3,3239.08
258,85,2,2022-02-14 11:47:27,Africa,2,6314.44
259,731,13,2025-01-19 13:03:08,Oceania,2,1335.98
260,421,13,2023-11-03 17:31:37,South America,3,2003.97
261,895,12,2022-03-20 21:42:02,Europe,2,1818.18
262,704,10,2022-05-25 12:19:55,Europe,3,1914.84
263,87,7,2021-07-19 02:38:45,South America,3,5636.95
264,898,7,2021-11-28 10:58:26,North America,5,9394.92
265,971,1,2021-12-11 13:38:53,North America,5,16887.1
266,998,8,2022-03-24 07:58:03,Oceania,2,6158.07
267,873,3,2023-05-30 23:19:48,Africa,1,2420.48
268,440,10,2021-04-08 16:58:35,North America,3,1914.84
269,982,6,2024-10-28 08:41:46,North America,2,6196.16
270,15,12,2023-09-13 23:47:13,South America,5,4545.45
271,848,11,2021-01-03 04:55:16,Europe,4,5151.42
272,731,4,2022-04-07 01:31:22,Asia,2,2159.39
273,765,8,2021-02-08 12:21:56,South America,4,12316.14
274,877,4,2021-10-31 17:48:36,Asia,5,5398.47
275,745,11,2023-07-23 17:01:11,Europe,2,2575.71
276,419,13,2020-03-30 09:28:45,Asia,2,1335.98
277,1000,5,2023-11-02 03:15:33,Europe,2,7024.54
278,379,10,2020-09-23 09:08:21,North America,4,2553.12
279,481,3,2023-05-20 03:49:40,Oceania,3,7261.44
280,218,12,2023-08-08 02:51:38,Oceania,4,3636.36
281,612,5,2020-10-23 00:32:54,Africa,1,3512.27
282,61,1,2021-12-30 15:02:49,South America,3,10132.26
283,931,6,2020-05-21 09:36:40,North America,5,15490.4
284,260,9,2023-03-29 12:46:18,Asia,5,6697.22
285,405,11,2021-02-14 20:23:55,Africa,3,3863.57
286,43,10,2022-03-19 16:45:09,Europe,2,1276.56
287,516,8,2023-12-25 06:56:14,Europe,3,9237.11
288,92,6,2023-09-07 01:34:30,Europe,5,15490.4
289,267,2,2020-05-17 04:58:08,Europe,3,9471.66
290,512,14,2023-01-25 07:42:13,South America,3,5189.14
291,290,5,2022-03-30 11:13:02,Africa,5,17561.34
292,321,7,2022-09-07 08:35:06,Oceania,2,3757.97
293,504,13,2024-09-22 10:06:33,Oceania,2,1335.98
294,652,13,2020-06-14 08:32:03,Europe,4,2671.96
295,153,1,2021-07-23 00:00:24,North America,2,6754.84
296,482,5,2023-12-22 07:56:56,South America,2,7024.54
297,119,8,2023-10-03 18:05:38,Asia,1,3079.04
298,727,9,2023-11-23 05:02:15,South America,4,5357.77
299,116,14,2021-01-19 04:19:41,Asia,2,3459.42
300,96,4,2021-07-15 06:36:36,Europe,3,3239.08
301,768,9,2024-10-15 22:46:08,Oceania,3,4018.33
302,600,4,2020-01-13 19:38:10,Africa,5,5398.47
303,786,10,2023-07-17 18:27:00,North America,2,1276.56
304,253,13,2020-10-19 23:54:25,Asia,4,2671.96
305,27,5,2023-05-09 15:25:51,Asia,1,3512.27
306,605,2,2021-04-22 18:19:49,North America,3,9471.66
307,84,8,2023-11-11 16:49:58,Oceania,4,12316.14
308,979,5,2020-01-19 00:52:44,Asia,5,17561.34
309,994,1,2023-11-08 17:44:01,Asia,5,16887.1
310,971,12,2021-02-05 18:48:46,Europe,5,4545.45
311,884,1,2022-10-01 01:21:52,North America,3,10132.26
312,762,2,2023-03-30 22:34:09,North America,5,15786.1
313,409,5,2022-01-15 21:40:18,South America,2,7024.54
314,92,1,2021-05-21 05:44:17,South America,2,6754.84
315,799,7,2021-04-23 21:06:49,North America,3,5636.95
316,306,8,2022-08-21 10:49:45,Oceania,4,12316.14
317,618,3,2020-10-25 14:35:33,Asia,3,7261.44
318,525,4,2023-10-15 22:35:36,South America,4,4318.78
319,488,5,2023-08-07 10:25:44,North America,5,17561.34
320,775,7,2021-08-01 23:41:52,South America,3,5636.95
321,646,7,2020-05-05 15:16:57,Africa,1,1878.98
322,350,8,2021-04-26 18:50:04,South America,2,6158.07
323,540,11,2020-09-17 21:15:52,Asia,5,6439.28
324,480,7,2024-01-23 21:17:04,Asia,1,1878.98
325,153,3,2022-02-11 12:56:57,Africa,3,7261.44
326,438,5,2020-05-28 06:52:40,Africa,5,17561.34
327,79,1,2020-11-30 09:38:10,Africa,5,16887.1
328,436,7,2023-12-14 15:17:57,Oceania,1,1878.98
329,738,10,2023-01-09 08:50:33,Asia,3,1914.84
330,600,2,2020-02-20 13:04:54,North America,5,15786.1
331,759,11,2021-07-11 20:22:54,Europe,4,5151.42
332,864,7,2020-09-15 18:35:40,South America,1,1878.98
333,898,12,2022-09-02 09:32:13,Africa,3,2727.27
334,742,8,2022-04-03 13:22:44,Asia,4,12316.14
335,990,14,2021-10-17 18:23:55,Europe,2,3459.42
336,81,12,2022-03-16 16:07:36,Oceania,5,4545.45
337,109,7,2020-02-25 15:51:21,North America,5,9394.92
338,405,2,2021-06-17 13:30:57,Oceania,1,3157.22
339,489,8,2024-02-21 04:39:34,Asia,4,12316.14
340,634,14,2023-01-25 17:53:15,Oceania,5,8648.56
341,690,12,2022-07-29 07:42:58,North America,4,3636.36
342,129,3,2021-08-15 19:14:04,North America,1,2420.48
343,836,1,2020-03-24 07:29:37,Europe,2,6754.84
344,493,11,2022-01-21 04:26:22,South America,2,2575.71
345,863,11,2021-08-16 03:36:48,North America,5,6439.28
346,309,13,2021-04-05 08:01:52,South America,4,2671.96
347,433,1,2021-05-31 01:43:23,Europe,1,3377.42
348,757,12,2024-02-15 23:42:49,South America,4,3636.36
349,21,14,2024-12-23 05:38:00,Europe,4,6918.85
350,207,5,2023-05-02 01:45:33,North America,5,17561.34
351,342,1,2023-09-03 12:26:34,South America,1,3377.42
352,869,8,2025-01-25 05:01:01,Oceania,5,15395.18
353,568,5,2024-02-23 14:22:29,South America,1,3512.27
354,498,9,2024-02-24 20:34:20,Europe,5,6697.22
355,732,1,2020-02-29 02:12:31,South America,5,16887.1
356,591,6,2020-07-16 07:41:28,Asia,5,15490.4
357,915,11,2024-01-10 14:38:15,North America,4,5151.42
358,507,10,2023-10-24 21:33:50,Oceania,3,1914.84
359,447,1,2022-06-13 19:38:25,Oceania,2,6754.84
360,197,8,2023-09-23 03:54:02,Europe,3,9237.11
361,520,4,2022-11-19 17:04:49,Africa,5,5398.47
362,874,14,2021-02-11 11:53:29,Asia,4,6918.85
363,741,12,2023-07-19 03:24:52,Oceania,4,3636.36
364,669,12,2024-01-07 11:05:34,Europe,3,2727.27
365,637,4,2020-09-24 18:56:00,Oceania,3,3239.08
366,495,3,2021-09-11 18:37:18,Europe,2,4840.96
367,621,8,2023-07-16 10:02:31,South America,1,3079.04
368,311,4,2024-09-26 00:17:33,North America,2,2159.39
369,19,6,2023-01-14 07:07:14,Oceania,3,9294.24
370,163,3,2020-04-09 07:51:23,North America,5,12102.4
371,346,7,2021-12-05 07:15:02,North America,1,1878.98
372,576,4,2022-03-12 00:36:42,Asia,4,4318.78
373,804,6,2024-09-26 14:35:49,Asia,1,3098.08
374,918,3,2020-11-19 13:23:30,Oceania,5,12102.4
375,52,8,2020-12-10 15:36:11,North America,4,12316.14
376,801,10,2020-11-12 11:49:52,Africa,5,3191.4
377,43,9,2021-06-02 23:52:29,Oceania,1,1339.44
378,121,14,2023-01-28 13:42:59,Europe,2,3459.42
379,746,5,2024-04-20 18:23:09,South America,4,14049.07
380,751,14,2021-04-24 09:07:24,Oceania,1,1729.71
381,373,6,2021-01-17 02:18:42,Europe,2,6196.16
382,450,7,2022-02-01 04:05:28,South America,1,1878.98
383,350,5,2021-06-16 02:12:19,North America,5,17561.34
384,273,6,2023-01-25 11:31:16,Oceania,4,12392.32
385,681,4,2024-07-03 13:35:13,South America,2,2159.39
386,807,4,2023-08-25 07:20:56,South America,2,2159.39
387,941,7,2024-05-22 15:19:40,Oceania,4,7515.94
388,371,1,2021-03-28 07:33:08,North America,4,13509.68
389,735,13,2020-08-04 04:20:58,North America,5,3339.95
390,347,6,2021-05-25 12:56:10,South America,4,12392.32
391,63,7,2021-04-13 23:48:14,Africa,1,1878.98
392,60,11,2022-07-07 18:48:40,South America,5,6439.28
393,412,11,2022-08-03 11:58:09,Oceania,5,6439.28
394,761,6,2020-01-25 13:13:58,Asia,3,9294.24
395,922,9,2021-04-01 06:48:37,Oceania,5,6697.22
396,414,8,2024-08-18 11:17:30,Africa,2,6158.07
397,808,10,2022-12-08 15:45:05,Oceania,4,2553.12
398,415,13,2022-07-25 19:48:43,North America,2,1335.98
399,38,9,2023-04-26 16:01:33,Oceania,3,4018.33
400,737,12,2024-06-05 01:02:01,Africa,2,1818.18
401,291,4,2024-05-08 17:00:00,Africa,1,1079.69
402,320,9,2021-05-12 04:30:12,North America,3,4018.33
403,29,13,2025-01-14 20:16:15,Asia,5,3339.95
404,248,14,2023-08-06 10:13:02,Africa,3,5189.14
405,114,12,2023-03-04 19:19:12,Asia,1,909.09
406,643,9,2021-01-19 16:10:04,North America,3,4018.33
407,775,11,2023-10-26 04:14:51,Asia,1,1287.86
408,587,12,2023-11-08 21:06:04,Asia,1,909.09
409,242,13,2024-10-23 05:59:08,Oceania,5,3339.95
410,916,11,2025-01-24 07:20:45,Europe,5,6439.28
411,359,5,2024-11-14 12:30:31,Oceania,3,10536.8
412,144,12,2024-06-02 13:09:13,Oceania,4,3636.36
413,254,2,2024-05-23 13:26:20,Africa,3,9471.66
414,198,14,2023-11-12 11:46:43,North America,3,5189.14
415,151,12,2023-07-04 04:53:43,North America,4,3636.36
416,95,1,2021-02-08 02:13:27,South America,4,13509.68
417,220,8,2023-02-21 08:34:21,Oceania,1,3079.04
418,539,7,2024-10-02 15:42:31,Africa,5,9394.92
419,798,7,2024-12-20 08:50:50,South America,3,5636.95
420,652,7,2024-02-29 22:49:39,Oceania,4,7515.94
421,997,7,2021-03-24 11:13:53,Africa,2,3757.97
422,131,8,2021-02-05 23:39:30,Oceania,4,12316.14
423,526,14,2021-01-01 19:03:14,Oceania,5,8648.56
424,218,8,2020-04-11 07:22:58,Oceania,4,12316.14
425,161,9,2021-01-03 23:50:21,Africa,3,4018.33
426,873,7,2021-01-10 12:27:14,Asia,1,1878.98
427,586,5,2024-06-12 05:06:56,Europe,1,3512.27
428,121,6,2023-03-09 09:44:36,Asia,3,9294.24
429,302,8,2021-03-19 21:06:51,Europe,1,3079.04
430,803,10,2020-05-31 03:41:05,Asia,4,2553.12
431,911,5,2021-07-22 19:13:12,Oceania,2,7024.54
432,501,1,2024-08-28 03:20:24,Asia,1,3377.42
433,70,14,2023-07-21 08:39:36,South America,1,1729.71
434,587,5,2023-11-06 11:28:55,Asia,5,17561.34
435,801,7,2021-02-16 15:00:07,Europe,4,7515.94
436,517,11,2023-10-29 21:10:00,Oceania,4,5151.42
437,460,3,2020-10-04 11:48:26,Africa,3,7261.44
438,681,10,2023-04-18 02:20:37,Europe,4,2553.12
439,922,7,2024-08-07 19:28:12,North America,3,5636.95
440,982,11,2022-05-11 18:35:10,Oceania,4,5151.42
441,91,14,2020-03-18 01:31:36,Africa,2,3459.42
442,646,13,2024-10-09 02:29:56,Oceania,3,2003.97
443,127,11,2020-09-21 13:23:45,Europe,5,6439.28
444,979,10,2024-11-27 05:28:11,North America,5,3191.4
445,981,10,2021-08-11 10:22:46,South America,5,3191.4
446,515,1,2024-07-10 10:18:51,Europe,1,3377.42
447,986,1,2021-10-01 09:55:58,Europe,3,10132.26
448,850,12,2023-10-12 04:09:00,North America,5,4545.45
449,827,9,2022-09-22 13:04:44,South America,5,6697.22
450,604,1,2020-03-13 06:38:01,Asia,4,13509.68
451,448,3,2020-03-15 17:48:55,Africa,4,9681.92
452,325,7,2020-10-09 19:19:20,North America,3,5636.95
453,102,9,2022-06-05 13:22:01,Europe,2,2678.89
454,188,5,2021-04-24 04:01:34,Asia,1,3512.27
455,976,7,2020-07-02 00:55:34,Africa,2,3757.97
456,985,6,2020-03-25 10:01:50,Oceania,2,6196.16
457,60,5,2020-11-02 18:54:09,Asia,4,14049.07
458,146,7,2022-03-12 08:58:29,South America,3,5636.95
459,965,14,2020-06-10 04:18:46,Europe,1,1729.71
460,246,13,2024-12-25 17:29:42,Europe,5,3339.95
461,505,9,2023-04-11 07:18:37,North America,5,6697.22
462,276,1,2023-12-15 03:45:17,Africa,3,10132.26
463,417,2,2020-03-30 19:25:13,South America,4,12628.88
464,649,4,2022-04-16 06:00:16,Africa,1,1079.69
465,987,10,2022-02-04 06:39:32,Africa,1,638.28
466,668,13,2022-08-04 09:34:46,Africa,2,1335.98
467,417,8,2024-04-03 18:56:33,Europe,1,3079.04
