log_id,user_id,activity_type,destination_id,activity_timestamp,additional_data
105,391,click,3.0,2022-10-07 12:43:23,"{""info"": ""Sample log data"", ""session_id"": 6774}"
106,580,review_submission,,2022-07-05 09:32:33,"{""info"": ""Sample log data"", ""session_id"": 4373}"
107,587,review_submission,,2022-11-12 10:53:13,"{""info"": ""Sample log data"", ""session_id"": 5735}"
108,8,click,,2022-09-22 09:38:36,"{""info"": ""Sample log data"", ""session_id"": 5685}"
109,425,booking,,2021-09-08 08:45:37,"{""info"": ""Sample log data"", ""session_id"": 2220}"
110,482,search,,2021-11-05 19:38:16,"{""info"": ""Sample log data"", ""session_id"": 1513}"
111,55,click,12.0,2020-02-18 18:41:25,"{""info"": ""Sample log data"", ""session_id"": 3399}"
112,754,review_submission,,2023-03-14 07:48:26,"{""info"": ""Sample log data"", ""session_id"": 4628}"
113,700,click,,2023-12-03 21:53:04,"{""info"": ""Sample log data"", ""session_id"": 4356}"
114,738,click,3.0,2022-06-04 17:10:55,"{""info"": ""Sample log data"", ""session_id"": 9273}"
115,463,booking,10.0,2020-07-21 22:00:16,"{""info"": ""Sample log data"", ""session_id"": 7980}"
116,684,review_submission,1.0,2024-12-07 19:20:40,"{""info"": ""Sample log data"", ""session_id"": 3029}"
117,35,search,,2023-05-16 08:32:10,"{""info"": ""Sample log data"", ""session_id"": 1375}"
118,766,review_submission,4.0,2023-07-08 05:38:06,"{""info"": ""Sample log data"", ""session_id"": 6071}"
119,312,review_submission,13.0,2023-12-28 05:18:19,"{""info"": ""Sample log data"", ""session_id"": 9422}"
120,366,booking,,2020-10-10 20:43:16,"{""info"": ""Sample log data"", ""session_id"": 8935}"
121,442,search,13.0,2021-09-06 15:05:21,"{""info"": ""Sample log data"", ""session_id"": 9120}"
122,100,review_submission,,2024-10-03 10:59:53,"{""info"": ""Sample log data"", ""session_id"": 2760}"
123,15,booking,,2022-02-06 04:02:53,"{""info"": ""Sample log data"", ""session_id"": 5454}"
124,429,review_submission,,2022-03-03 01:49:22,"{""info"": ""Sample log data"", ""session_id"": 9089}"
125,812,click,12.0,2024-08-03 08:39:00,"{""info"": ""Sample log data"", ""session_id"": 8216}"
126,787,search,,2021-02-10 06:45:52,"{""info"": ""Sample log data"", ""session_id"": 9211}"
127,967,search,,2023-04-23 13:16:36,"{""info"": ""Sample log data"", ""session_id"": 8155}"
128,354,search,9.0,2023-10-06 19:20:40,"{""info"": ""Sample log data"", ""session_id"": 9885}"
129,819,booking,,2023-10-06 22:22:10,"{""info"": ""Sample log data"", ""session_id"": 2483}"
130,608,click,,2022-02-01 18:40:14,"{""info"": ""Sample log data"", ""session_id"": 5325}"
131,364,search,,2024-04-27 15:31:11,"{""info"": ""Sample log data"", ""session_id"": 6225}"
132,634,click,9.0,2023-05-12 10:39:23,"{""info"": ""Sample log data"", ""session_id"": 3584}"
133,765,booking,1.0,2022-01-14 20:34:56,"{""info"": ""Sample log data"", ""session_id"": 1738}"
134,524,review_submission,,2021-05-28 21:05:06,"{""info"": ""Sample log data"", ""session_id"": 5345}"
135,953,click,5.0,2023-01-18 06:48:13,"{""info"": ""Sample log data"", ""session_id"": 5114}"
136,542,review_submission,,2021-07-03 07:28:11,"{""info"": ""Sample log data"", ""session_id"": 2836}"
137,192,search,,2023-04-23 04:41:19,"{""info"": ""Sample log data"", ""session_id"": 1527}"
138,843,click,,2020-07-16 06:43:57,"{""info"": ""Sample log data"", ""session_id"": 1083}"
139,534,search,,2022-08-22 04:43:45,"{""info"": ""Sample log data"", ""session_id"": 7874}"
140,637,booking,,2020-01-03 03:34:55,"{""info"": ""Sample log data"", ""session_id"": 5909}"
141,602,search,,2023-06-04 02:13:32,"{""info"": ""Sample log data"", ""session_id"": 5252}"
142,452,booking,,2024-12-15 19:37:10,"{""info"": ""Sample log data"", ""session_id"": 3007}"
143,673,search,7.0,2021-08-01 16:45:11,"{""info"": ""Sample log data"", ""session_id"": 3906}"
144,119,booking,1.0,2024-11-20 01:46:09,"{""info"": ""Sample log data"", ""session_id"": 7636}"
145,716,booking,,2024-04-10 20:39:31,"{""info"": ""Sample log data"", ""session_id"": 2149}"
146,654,search,,2021-01-15 23:26:56,"{""info"": ""Sample log data"", ""session_id"": 6142}"
147,534,click,4.0,2023-03-04 06:29:38,"{""info"": ""Sample log data"", ""session_id"": 3146}"
148,866,review_submission,,2020-01-04 22:39:29,"{""info"": ""Sample log data"", ""session_id"": 2645}"
149,835,click,,2022-09-07 16:49:31,"{""info"": ""Sample log data"", ""session_id"": 1005}"
150,785,search,,2024-02-06 06:35:05,"{""info"": ""Sample log data"", ""session_id"": 4162}"
151,809,search,2.0,2020-08-01 01:41:20,"{""info"": ""Sample log data"", ""session_id"": 4020}"
152,877,booking,,2023-12-17 20:56:26,"{""info"": ""Sample log data"", ""session_id"": 2551}"
153,987,search,6.0,2023-04-10 10:18:00,"{""info"": ""Sample log data"", ""session_id"": 2484}"
154,613,booking,10.0,2021-08-12 08:31:03,"{""info"": ""Sample log data"", ""session_id"": 7572}"
155,641,booking,,2022-11-10 01:10:40,"{""info"": ""Sample log data"", ""session_id"": 2979}"
156,590,search,11.0,2024-11-25 18:37:43,"{""info"": ""Sample log data"", ""session_id"": 7746}"
157,546,review_submission,,2024-03-10 00:06:59,"{""info"": ""Sample log data"", ""session_id"": 2258}"
158,495,search,9.0,2022-08-24 19:55:24,"{""info"": ""Sample log data"", ""session_id"": 3418}"
159,612,click,12.0,2024-10-01 04:45:02,"{""info"": ""Sample log data"", ""session_id"": 6990}"
160,18,review_submission,12.0,2023-08-05 20:41:20,"{""info"": ""Sample log data"", ""session_id"": 2371}"
161,158,click,4.0,2020-08-18 14:40:29,"{""info"": ""Sample log data"", ""session_id"": 4190}"
162,287,booking,3.0,2020-05-10 18:33:04,"{""info"": ""Sample log data"", ""session_id"": 5344}"
163,43,search,14.0,2024-01-25 02:17:57,"{""info"": ""Sample log data"", ""session_id"": 2196}"
164,959,review_submission,,2024-06-10 06:20:52,"{""info"": ""Sample log data"", ""session_id"": 6714}"
165,395,click,,2022-03-02 21:43:25,"{""info"": ""Sample log data"", ""session_id"": 9862}"
166,8,review_submission,7.0,2020-07-31 04:18:57,"{""info"": ""Sample log data"", ""session_id"": 3970}"
167,927,review_submission,13.0,2020-04-11 23:36:28,"{""info"": ""Sample log data"", ""session_id"": 4760}"
168,939,search,,2020-08-16 03:29:23,"{""info"": ""Sample log data"", ""session_id"": 8034}"
169,326,review_submission,11.0,2021-06-06 00:21:18,"{""info"": ""Sample log data"", ""session_id"": 2804}"
170,121,review_submission,1.0,2024-08-11 01:36:42,"{""info"": ""Sample log data"", ""session_id"": 2341}"
171,921,search,11.0,2021-12-15 15:42:30,"{""info"": ""Sample log data"", ""session_id"": 4631}"
172,201,search,,2023-01-14 17:03:53,"{""info"": ""Sample log data"", ""session_id"": 9322}"
173,788,review_submission,10.0,2020-07-04 01:41:00,"{""info"": ""Sample log data"", ""session_id"": 8031}"
174,807,click,4.0,2022-06-02 21:01:57,"{""info"": ""Sample log data"", ""session_id"": 6584}"
175,615,review_submission,9.0,2020-03-03 15:31:37,"{""info"": ""Sample log data"", ""session_id"": 7339}"
176,649,search,,2024-08-28 05:59:51,"{""info"": ""Sample log data"", ""session_id"": 1793}"
177,991,booking,6.0,2022-12-04 02:05:20,"{""info"": ""Sample log data"", ""session_id"": 3675}"
178,92,search,3.0,2021-11-05 16:03:10,"{""info"": ""Sample log data"", ""session_id"": 7917}"
179,7,search,,2020-11-16 16:32:17,"{""info"": ""Sample log data"", ""session_id"": 1218}"
180,260,booking,,2020-05-12 01:06:53,"{""info"": ""Sample log data"", ""session_id"": 9865}"
181,719,search,,2020-11-13 13:05:44,"{""info"": ""Sample log data"", ""session_id"": 5205}"
182,40,click,,2024-10-18 01:08:45,"{""info"": ""Sample log data"", ""session_id"": 6335}"
183,270,booking,,2020-04-02 16:48:58,"{""info"": ""Sample log data"", ""session_id"": 7618}"
184,12,booking,14.0,2023-07-10 03:54:28,"{""info"": ""Sample log data"", ""session_id"": 3157}"
185,709,review_submission,,2023-05-22 16:58:30,"{""info"": ""Sample log data"", ""session_id"": 8081}"
186,609,click,,2024-11-10 14:01:27,"{""info"": ""Sample log data"", ""session_id"": 1665}"
187,499,booking,,2020-08-30 21:04:43,"{""info"": ""Sample log data"", ""session_id"": 5997}"
188,147,search,,2023-11-12 11:07:45,"{""info"": ""Sample log data"", ""session_id"": 8259}"
189,930,review_submission,,2021-08-14 23:17:19,"{""info"": ""Sample log data"", ""session_id"": 9743}"
190,295,review_submission,,2020-09-22 20:57:24,"{""info"": ""Sample log data"", ""session_id"": 6658}"
191,200,search,,2022-06-06 14:40:15,"{""info"": ""Sample log data"", ""session_id"": 9116}"
192,143,review_submission,,2022-06-30 20:25:58,"{""info"": ""Sample log data"", ""session_id"": 7149}"
193,912,booking,10.0,2021-02-22 15:44:21,"{""info"": ""Sample log data"", ""session_id"": 7347}"
194,133,review_submission,7.0,2021-01-10 19:24:30,"{""info"": ""Sample log data"", ""session_id"": 7393}"
195,397,click,,2023-09-14 16:45:07,"{""info"": ""Sample log data"", ""session_id"": 1129}"
196,787,click,5.0,2022-04-19 01:45:10,"{""info"": ""Sample log data"", ""session_id"": 7553}"
197,898,review_submission,8.0,2021-01-23 03:54:06,"{""info"": ""Sample log data"", ""session_id"": 7485}"
198,379,review_submission,,2024-03-05 16:56:23,"{""info"": ""Sample log data"", ""session_id"": 5839}"
199,46,click,,2024-03-24 20:55:39,"{""info"": ""Sample log data"", ""session_id"": 3164}"
200,212,search,12.0,2022-09-28 07:38:20,"{""info"": ""Sample log data"", ""session_id"": 3424}"
201,281,click,,2021-04-15 07:04:53,"{""info"": ""Sample log data"", ""session_id"": 6596}"
202,848,review_submission,14.0,2020-01-03 03:16:33,"{""info"": ""Sample log data"", ""session_id"": 9536}"
203,329,booking,,2020-07-13 05:44:36,"{""info"": ""Sample log data"", ""session_id"": 8415}"
204,185,search,6.0,2022-11-20 17:24:12,"{""info"": ""Sample log data"", ""session_id"": 3460}"
205,9,booking,12.0,2022-10-23 16:43:50,"{""info"": ""Sample log data"", ""session_id"": 4263}"
206,786,search,4.0,2024-05-19 03:49:55,"{""info"": ""Sample log data"", ""session_id"": 5459}"
207,381,review_submission,,2021-12-15 09:14:10,"{""info"": ""Sample log data"", ""session_id"": 5721}"
208,680,click,4.0,2021-01-29 04:30:48,"{""info"": ""Sample log data"", ""session_id"": 3024}"
209,7,search,,2022-03-13 00:32:38,"{""info"": ""Sample log data"", ""session_id"": 4706}"
210,743,search,,2020-08-21 08:13:21,"{""info"": ""Sample log data"", ""session_id"": 5604}"
211,883,search,,2024-05-09 17:01:03,"{""info"": ""Sample log data"", ""session_id"": 4644}"
212,272,click,,2024-02-05 15:09:27,"{""info"": ""Sample log data"", ""session_id"": 9912}"
213,155,booking,1.0,2020-10-27 08:09:11,"{""info"": ""Sample log data"", ""session_id"": 2880}"
214,438,click,4.0,2021-11-05 05:29:41,"{""info"": ""Sample log data"", ""session_id"": 9062}"
215,638,search,9.0,2020-02-18 03:12:39,"{""info"": ""Sample log data"", ""session_id"": 1698}"
216,824,review_submission,,2021-05-20 06:11:16,"{""info"": ""Sample log data"", ""session_id"": 7691}"
217,353,review_submission,,2021-11-05 08:00:08,"{""info"": ""Sample log data"", ""session_id"": 6447}"
218,371,review_submission,,2022-12-13 13:19:46,"{""info"": ""Sample log data"", ""session_id"": 3088}"
219,428,click,,2024-04-09 11:51:51,"{""info"": ""Sample log data"", ""session_id"": 9563}"
220,974,click,,2021-04-08 05:14:13,"{""info"": ""Sample log data"", ""session_id"": 6153}"
221,319,booking,12.0,2021-02-02 11:52:18,"{""info"": ""Sample log data"", ""session_id"": 6274}"
222,208,booking,2.0,2023-12-18 15:05:09,"{""info"": ""Sample log data"", ""session_id"": 9624}"
223,696,click,9.0,2022-10-25 18:00:01,"{""info"": ""Sample log data"", ""session_id"": 1754}"
224,256,booking,,2021-12-16 19:57:55,"{""info"": ""Sample log data"", ""session_id"": 9638}"
225,192,review_submission,3.0,2022-03-24 23:49:18,"{""info"": ""Sample log data"", ""session_id"": 8231}"
226,407,review_submission,,2023-03-23 02:07:00,"{""info"": ""Sample log data"", ""session_id"": 1725}"
227,546,click,,2022-07-18 16:03:44,"{""info"": ""Sample log data"", ""session_id"": 6258}"
228,724,review_submission,2.0,2020-06-21 18:59:47,"{""info"": ""Sample log data"", ""session_id"": 8743}"
229,321,click,2.0,2023-04-26 18:26:36,"{""info"": ""Sample log data"", ""session_id"": 6896}"
230,619,click,,2021-02-27 08:35:23,"{""info"": ""Sample log data"", ""session_id"": 7490}"
231,132,search,11.0,2024-02-02 16:24:46,"{""info"": ""Sample log data"", ""session_id"": 5842}"
232,729,search,,2021-11-14 02:31:34,"{""info"": ""Sample log data"", ""session_id"": 1062}"
233,651,search,,2020-09-10 13:59:37,"{""info"": ""Sample log data"", ""session_id"": 5544}"
234,945,booking,6.0,2025-01-09 19:17:03,"{""info"": ""Sample log data"", ""session_id"": 7257}"
235,954,booking,,2022-08-27 00:05:33,"{""info"": ""Sample log data"", ""session_id"": 5443}"
236,954,click,4.0,2025-01-23 02:17:07,"{""info"": ""Sample log data"", ""session_id"": 8845}"
237,100,search,,2021-12-05 14:03:55,"{""info"": ""Sample log data"", ""session_id"": 4720}"
238,839,click,,2021-05-26 11:31:40,"{""info"": ""Sample log data"", ""session_id"": 8080}"
239,863,review_submission,1.0,2020-03-19 03:21:39,"{""info"": ""Sample log data"", ""session_id"": 1748}"
240,765,click,,2021-12-04 01:09:11,"{""info"": ""Sample log data"", ""session_id"": 5824}"
241,309,review_submission,,2024-09-09 14:26:02,"{""info"": ""Sample log data"", ""session_id"": 7772}"
242,642,search,12.0,2024-01-19 09:15:30,"{""info"": ""Sample log data"", ""session_id"": 9384}"
243,414,search,12.0,2020-12-25 04:01:50,"{""info"": ""Sample log data"", ""session_id"": 7002}"
244,587,click,,2021-11-06 06:49:09,"{""info"": ""Sample log data"", ""session_id"": 8476}"
245,448,click,9.0,2024-03-05 14:54:35,"{""info"": ""Sample log data"", ""session_id"": 5726}"
246,598,search,4.0,2020-12-31 03:17:31,"{""info"": ""Sample log data"", ""session_id"": 3624}"
247,172,click,,2022-03-31 08:08:58,"{""info"": ""Sample log data"", ""session_id"": 1671}"
248,952,review_submission,,2023-10-31 13:23:58,"{""info"": ""Sample log data"", ""session_id"": 4387}"
249,703,search,5.0,2023-05-16 09:27:48,"{""info"": ""Sample log data"", ""session_id"": 8591}"
250,318,review_submission,,2022-03-05 20:41:16,"{""info"": ""Sample log data"", ""session_id"": 1104}"
251,471,search,,2023-04-11 03:22:38,"{""info"": ""Sample log data"", ""session_id"": 7735}"
252,881,booking,7.0,2020-01-12 14:15:54,"{""info"": ""Sample log data"", ""session_id"": 8361}"
253,387,click,3.0,2021-01-08 06:45:03,"{""info"": ""Sample log data"", ""session_id"": 3965}"
254,807,click,2.0,2024-04-13 03:36:10,"{""info"": ""Sample log data"", ""session_id"": 7804}"
255,886,click,,2023-09-30 03:54:57,"{""info"": ""Sample log data"", ""session_id"": 3189}"
256,437,booking,12.0,2021-10-01 23:45:46,"{""info"": ""Sample log data"", ""session_id"": 4236}"
257,871,search,,2024-12-26 08:26:24,"{""info"": ""Sample log data"", ""session_id"": 8059}"
258,584,click,11.0,2023-06-03 21:23:15,"{""info"": ""Sample log data"", ""session_id"": 7568}"
259,676,review_submission,,2024-08-14 07:01:24,"{""info"": ""Sample log data"", ""session_id"": 6772}"
260,238,search,3.0,2022-02-23 02:24:30,"{""info"": ""Sample log data"", ""session_id"": 5335}"
261,211,booking,,2024-12-01 15:32:08,"{""info"": ""Sample log data"", ""session_id"": 2500}"
262,116,booking,,2022-12-28 00:33:30,"{""info"": ""Sample log data"", ""session_id"": 2606}"
263,158,booking,3.0,2020-03-31 09:03:12,"{""info"": ""Sample log data"", ""session_id"": 7370}"
264,768,click,8.0,2024-01-12 04:02:58,"{""info"": ""Sample log data"", ""session_id"": 1310}"
265,315,click,,2022-02-23 05:49:10,"{""info"": ""Sample log data"", ""session_id"": 9667}"
266,98,search,,2022-11-16 06:52:38,"{""info"": ""Sample log data"", ""session_id"": 6728}"
267,948,booking,,2024-11-14 08:48:39,"{""info"": ""Sample log data"", ""session_id"": 5227}"
268,171,search,10.0,2024-04-01 07:54:24,"{""info"": ""Sample log data"", ""session_id"": 4233}"
269,944,search,,2021-08-23 22:32:00,"{""info"": ""Sample log data"", ""session_id"": 7453}"
270,345,review_submission,,2023-05-26 23:27:11,"{""info"": ""Sample log data"", ""session_id"": 8556}"
271,438,review_submission,,2023-02-11 10:56:03,"{""info"": ""Sample log data"", ""session_id"": 4434}"
272,370,review_submission,2.0,2022-08-16 18:45:54,"{""info"": ""Sample log data"", ""session_id"": 2463}"
273,498,booking,10.0,2024-12-21 23:39:15,"{""info"": ""Sample log data"", ""session_id"": 6669}"
274,226,search,,2021-07-10 14:51:15,"{""info"": ""Sample log data"", ""session_id"": 8083}"
275,806,review_submission,14.0,2021-08-19 11:42:30,"{""info"": ""Sample log data"", ""session_id"": 4284}"
276,623,search,,2023-06-15 12:42:32,"{""info"": ""Sample log data"", ""session_id"": 2883}"
