user_id,preferences,last_updated
65,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""family\"", \""adventurous\""]""}",2024-12-19 16:07:03
66,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""romantic\"", \""historic\"", \""scenic\""]""}",2022-07-16 18:10:23
67,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""adventurous\"", \""romantic\"", \""cultural\"", \""scenic\""]""}",2023-09-16 02:17:09
68,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""budget\"", \""romantic\"", \""family\""]""}",2023-06-10 04:02:09
69,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""historic\"", \""adventurous\""]""}",2025-01-12 22:43:27
70,"{""preferred_transport"": ""flight"", ""budget_range"": ""low"", ""interest_tags"": ""[\""family\"", \""cultural\"", \""adventurous\"", \""romantic\""]""}",2020-06-05 05:29:38
71,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""adventurous\"", \""romantic\"", \""scenic\""]""}",2022-11-14 13:51:53
72,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""luxury\"", \""family\"", \""historic\""]""}",2024-01-01 04:37:10
73,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""historic\"", \""scenic\"", \""cultural\"", \""romantic\""]""}",2020-05-05 01:51:51
74,"{""preferred_transport"": ""flight"", ""budget_range"": ""low"", ""interest_tags"": ""[\""historic\"", \""luxury\""]""}",2021-04-18 10:27:04
75,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""cultural\"", \""luxury\"", \""romantic\""]""}",2023-12-15 19:26:49
76,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""cultural\"", \""family\""]""}",2021-05-23 19:15:48
77,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""historic\"", \""scenic\"", \""luxury\"", \""adventurous\""]""}",2023-05-17 08:41:54
78,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""adventurous\"", \""historic\"", \""budget\"", \""scenic\""]""}",2021-01-11 02:31:10
79,"{""preferred_transport"": ""flight"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""family\"", \""budget\"", \""scenic\"", \""historic\""]""}",2024-04-20 23:10:15
80,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""romantic\"", \""historic\"", \""adventurous\""]""}",2023-01-30 06:41:50
81,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""family\"", \""cultural\""]""}",2024-06-09 00:15:25
82,"{""preferred_transport"": ""cruise"", ""budget_range"": ""high"", ""interest_tags"": ""[\""romantic\"", \""adventurous\"", \""family\"", \""luxury\""]""}",2022-04-13 21:01:19
83,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""luxury\"", \""adventurous\""]""}",2022-01-27 15:46:32
84,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""family\"", \""scenic\"", \""historic\"", \""adventurous\""]""}",2022-10-06 18:48:46
85,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""budget\"", \""family\""]""}",2022-03-13 16:09:07
86,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""luxury\"", \""romantic\"", \""historic\"", \""family\""]""}",2021-08-16 14:11:59
87,"{""preferred_transport"": ""flight"", ""budget_range"": ""low"", ""interest_tags"": ""[\""family\"", \""adventurous\"", \""luxury\"", \""cultural\""]""}",2024-01-19 04:04:30
88,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""cultural\"", \""scenic\""]""}",2021-11-19 11:25:31
89,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""luxury\"", \""budget\""]""}",2024-12-11 19:55:39
90,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""budget\"", \""adventurous\"", \""romantic\"", \""luxury\""]""}",2022-10-24 17:35:13
91,"{""preferred_transport"": ""cruise"", ""budget_range"": ""high"", ""interest_tags"": ""[\""luxury\"", \""scenic\"", \""family\""]""}",2021-12-17 06:09:44
92,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""budget\"", \""historic\""]""}",2024-07-22 20:54:46
93,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""romantic\"", \""scenic\""]""}",2025-01-05 18:47:09
94,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""luxury\"", \""cultural\""]""}",2023-01-26 05:14:34
95,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""scenic\"", \""romantic\""]""}",2020-05-21 09:53:47
96,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""budget\"", \""adventurous\""]""}",2020-11-14 17:29:20
97,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""romantic\"", \""adventurous\"", \""family\""]""}",2022-11-24 12:52:33
98,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""romantic\"", \""historic\"", \""family\""]""}",2023-05-29 22:54:44
99,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""historic\"", \""cultural\"", \""family\"", \""luxury\""]""}",2022-08-01 23:37:05
100,"{""preferred_transport"": ""flight"", ""budget_range"": ""low"", ""interest_tags"": ""[\""family\"", \""luxury\""]""}",2025-01-26 02:26:21
101,"{""preferred_transport"": ""train"", ""budget_range"": ""high"", ""interest_tags"": ""[\""romantic\"", \""adventurous\"", \""scenic\""]""}",2025-01-02 11:36:52
102,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""historic\"", \""luxury\"", \""budget\"", \""romantic\""]""}",2021-10-07 13:47:20
103,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""cultural\"", \""romantic\"", \""family\"", \""budget\""]""}",2024-09-10 23:31:30
104,"{""preferred_transport"": ""flight"", ""budget_range"": ""low"", ""interest_tags"": ""[\""family\"", \""adventurous\""]""}",2025-01-18 21:46:18
105,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""adventurous\"", \""scenic\""]""}",2022-05-28 09:00:35
106,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""adventurous\"", \""scenic\"", \""budget\"", \""luxury\""]""}",2021-09-06 14:28:11
107,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""adventurous\"", \""budget\"", \""cultural\"", \""scenic\""]""}",2021-03-17 21:54:22
108,"{""preferred_transport"": ""flight"", ""budget_range"": ""low"", ""interest_tags"": ""[\""luxury\"", \""romantic\""]""}",2024-11-03 11:09:12
109,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""romantic\"", \""budget\""]""}",2022-08-02 18:40:56
110,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""romantic\"", \""adventurous\"", \""historic\"", \""luxury\""]""}",2020-05-03 20:14:07
111,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""luxury\"", \""historic\"", \""family\""]""}",2021-12-12 05:50:29
112,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""historic\"", \""family\"", \""cultural\""]""}",2024-01-01 19:05:02
113,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""family\"", \""budget\""]""}",2024-03-07 17:43:59
114,"{""preferred_transport"": ""flight"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""family\"", \""scenic\"", \""romantic\""]""}",2020-11-20 23:31:56
115,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""romantic\"", \""scenic\"", \""budget\""]""}",2023-05-29 03:53:02
116,"{""preferred_transport"": ""flight"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""budget\"", \""scenic\""]""}",2022-10-01 09:02:26
117,"{""preferred_transport"": ""flight"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""historic\"", \""budget\"", \""luxury\"", \""adventurous\""]""}",2023-07-07 21:58:21
118,"{""preferred_transport"": ""flight"", ""budget_range"": ""low"", ""interest_tags"": ""[\""budget\"", \""luxury\"", \""adventurous\"", \""romantic\""]""}",2020-06-09 08:27:11
119,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""scenic\"", \""romantic\"", \""adventurous\"", \""budget\""]""}",2021-01-12 06:11:07
120,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""adventurous\"", \""budget\"", \""cultural\"", \""scenic\""]""}",2024-09-07 09:32:01
121,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""cultural\"", \""romantic\"", \""historic\""]""}",2023-12-04 16:02:54
122,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""romantic\"", \""budget\""]""}",2022-06-25 18:46:30
123,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""romantic\"", \""cultural\"", \""adventurous\""]""}",2024-09-08 17:18:12
124,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""scenic\"", \""family\""]""}",2020-08-04 21:25:01
125,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""luxury\"", \""family\"", \""historic\""]""}",2022-05-28 18:00:11
126,"{""preferred_transport"": ""cruise"", ""budget_range"": ""high"", ""interest_tags"": ""[\""romantic\"", \""family\"", \""cultural\"", \""adventurous\""]""}",2024-07-31 07:28:43
127,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""family\"", \""adventurous\"", \""scenic\""]""}",2021-08-09 02:56:25
128,"{""preferred_transport"": ""train"", ""budget_range"": ""high"", ""interest_tags"": ""[\""adventurous\"", \""family\"", \""romantic\""]""}",2020-05-15 14:34:42
129,"{""preferred_transport"": ""cruise"", ""budget_range"": ""high"", ""interest_tags"": ""[\""family\"", \""adventurous\"", \""budget\""]""}",2021-04-17 13:47:40
130,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""budget\"", \""family\""]""}",2020-11-07 19:43:36
131,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""romantic\"", \""historic\"", \""budget\"", \""cultural\""]""}",2023-06-27 18:13:16
132,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""luxury\"", \""scenic\"", \""romantic\""]""}",2023-05-19 22:30:17
133,"{""preferred_transport"": ""flight"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""family\"", \""scenic\"", \""budget\"", \""adventurous\""]""}",2024-08-07 21:04:40
134,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""adventurous\"", \""budget\""]""}",2022-06-11 20:31:53
135,"{""preferred_transport"": ""train"", ""budget_range"": ""high"", ""interest_tags"": ""[\""family\"", \""historic\""]""}",2020-11-08 06:21:46
136,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""luxury\"", \""historic\"", \""family\"", \""scenic\""]""}",2020-06-23 08:33:10
137,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""family\"", \""cultural\"", \""romantic\""]""}",2024-07-08 06:37:53
138,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""cultural\"", \""family\"", \""historic\""]""}",2023-04-03 12:34:13
139,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""scenic\"", \""cultural\"", \""adventurous\"", \""romantic\""]""}",2023-11-28 20:03:36
140,"{""preferred_transport"": ""cruise"", ""budget_range"": ""high"", ""interest_tags"": ""[\""romantic\"", \""scenic\""]""}",2024-08-25 05:18:41
141,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""budget\"", \""luxury\"", \""scenic\""]""}",2023-08-11 06:46:03
142,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""adventurous\"", \""romantic\"", \""family\""]""}",2020-11-27 08:38:39
143,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""budget\"", \""luxury\"", \""scenic\"", \""romantic\""]""}",2020-03-09 03:56:05
144,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""historic\"", \""luxury\""]""}",2024-03-23 06:40:15
145,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""budget\"", \""cultural\"", \""romantic\"", \""family\""]""}",2022-02-17 16:05:18
146,"{""preferred_transport"": ""train"", ""budget_range"": ""high"", ""interest_tags"": ""[\""historic\"", \""scenic\""]""}",2023-10-01 14:09:35
147,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""historic\"", \""romantic\""]""}",2022-10-12 01:56:37
148,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""scenic\"", \""family\""]""}",2024-08-02 21:09:26
149,"{""preferred_transport"": ""cruise"", ""budget_range"": ""high"", ""interest_tags"": ""[\""luxury\"", \""family\"", \""cultural\"", \""scenic\""]""}",2024-02-06 01:10:41
150,"{""preferred_transport"": ""cruise"", ""budget_range"": ""high"", ""interest_tags"": ""[\""cultural\"", \""adventurous\"", \""historic\""]""}",2021-03-13 07:36:13
151,"{""preferred_transport"": ""train"", ""budget_range"": ""high"", ""interest_tags"": ""[\""family\"", \""romantic\"", \""luxury\"", \""scenic\""]""}",2020-10-07 13:28:12
152,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""cultural\"", \""adventurous\"", \""scenic\""]""}",2022-03-25 12:10:17
153,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""cultural\"", \""budget\"", \""romantic\""]""}",2024-01-04 19:51:48
154,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""budget\"", \""luxury\"", \""cultural\"", \""historic\""]""}",2023-12-13 10:17:46
155,"{""preferred_transport"": ""cruise"", ""budget_range"": ""high"", ""interest_tags"": ""[\""cultural\"", \""romantic\"", \""historic\""]""}",2020-04-25 14:44:14
156,"{""preferred_transport"": ""cruise"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""cultural\"", \""romantic\""]""}",2024-07-28 02:22:48
157,"{""preferred_transport"": ""train"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""budget\"", \""romantic\"", \""family\""]""}",2024-08-05 07:40:18
158,"{""preferred_transport"": ""road"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""adventurous\"", \""budget\"", \""historic\""]""}",2024-02-29 08:21:34
159,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""budget\"", \""cultural\""]""}",2023-10-09 13:02:20
160,"{""preferred_transport"": ""road"", ""budget_range"": ""low"", ""interest_tags"": ""[\""cultural\"", \""budget\"", \""scenic\""]""}",2024-08-18 14:19:00
161,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""luxury\"", \""cultural\"", \""historic\""]""}",2023-11-13 18:11:05
162,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""historic\"", \""romantic\""]""}",2022-11-02 04:14:42
163,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""adventurous\"", \""historic\"", \""luxury\"", \""cultural\""]""}",2024-12-26 19:53:31
164,"{""preferred_transport"": ""train"", ""budget_range"": ""low"", ""interest_tags"": ""[\""scenic\"", \""family\"", \""luxury\""]""}",2020-01-09 19:26:02
165,"{""preferred_transport"": ""cruise"", ""budget_range"": ""low"", ""interest_tags"": ""[\""luxury\"", \""family\""]""}",2021-06-26 03:26:54
166,"{""preferred_transport"": ""flight"", ""budget_range"": ""high"", ""interest_tags"": ""[\""scenic\"", \""historic\""]""}",2023-01-18 00:28:48
167,"{""preferred_transport"": ""train"", ""budget_range"": ""high"", ""interest_tags"": ""[\""historic\"", \""cultural\"", \""scenic\""]""}",2020-06-11 19:09:15
168,"{""preferred_transport"": ""train"", ""budget_range"": ""high"", ""interest_tags"": ""[\""cultural\"", \""budget\"", \""historic\""]""}",2024-01-19 15:28:22
169,"{""preferred_transport"": ""road"", ""budget_range"": ""medium"", ""interest_tags"": ""[\""cultural\"", \""adventurous\"", \""luxury\"", \""romantic\""]""}",2020-05-14 17:31:52
